Term,Course/Section,Course Offering Id,Days Met,Start Date,End Date,Start Time,End Time,Room,Instructor
202211 (CS Spring)  ,LAND 602/600 LAB,11379,MWF,1/18/2022,5/10/2022,2:41 PM,5:10 PM,ARCA 300C,Lee
202211 (CS Spring)  ,LAND 602/600 LEC,11379,MW,1/18/2022,5/10/2022,1:50 PM,2:40 PM,ARCA 323,Lee
202211 (CS Spring)  ,LAND 614/600 LAB,11380,TR,1/18/2022,5/10/2022,3:11 PM,4:50 PM,ARCA 300C,Dvorak
202211 (CS Spring)  ,LAND 614/600 LEC,11380,TR,1/18/2022,5/10/2022,2:20 PM,3:10 PM,ARCC 111,Dvorak
202211 (CS Spring)  ,LAND 621/600 LAB,11381,MWF,1/18/2022,5/10/2022,8:51 AM,11:20 AM,ARCA 300B,Winslow
202211 (CS Spring)  ,LAND 621/600 LEC,11381,MW,1/18/2022,5/10/2022,8:00 AM,8:50 AM,ARCA 323,Winslow
202211 (CS Spring)  ,LAND 632/600 LEC,44545,W,1/18/2022,5/10/2022,1:50 PM,4:20 PM,ARCA 303,Goddard
202211 (CS Spring)  ,LAND 635/600 LEC,38656,TR,1/18/2022,5/10/2022,11:10 AM,12:25 PM,ARCA 302,Pap
202211 (CS Spring)  ,LAND 640/600 LEC,11382,TR,1/18/2022,5/10/2022,11:10 AM,12:25 PM,ARCA 303,Rogers
202211 (CS Spring)  ,LAND 646/600 LEC,11383,MW,1/18/2022,5/10/2022,4:10 PM,5:25 PM,ARCC 111,Winslow
202211 (CS Spring)  ,LAND 681/600 SEM,11384,W,1/18/2022,5/10/2022,11:40 AM,12:30 PM,ARCA 303,Dvorak
202211 (CS Spring)  ,LAND 684/613 PRAC,25961,,1/18/2022,5/10/2022,,,,Newman
202211 (CS Spring)  ,LAND 685/606 INS,45148,,1/18/2022,5/10/2022,,,,Huang
202211 (CS Spring)  ,LAND 685/607 INS,15139,,1/18/2022,5/10/2022,,,,Dvorak
202211 (CS Spring)  ,LAND 693/606 INS,45052,,1/18/2022,5/10/2022,,,,Rising
202211 (CS Spring)  ,LAND 693/607 INS,15087,,1/18/2022,5/10/2022,,,,Brown
202211 (CS Spring)  ,LAND 693/612 INS,16248,,1/18/2022,5/10/2022,,,,Huang
202211 (CS Spring)  ,LAND 693/613 INS,16058,,1/18/2022,5/10/2022,,,,Song
202211 (CS Spring)  ,LAND 693/619 INS,36763,,1/18/2022,5/10/2022,,,,Lee
